Country,Approval of China Leadership,Approval of Germany Leadership,Approval of Russia Leadership,Approval of US Leadership,Confidence in Judicial System,Confidence in Military,Corruption in Government,Freedom of Media,Good place for Gay People,Good place for Minorities,Honesty of Elections,Move Away or Stay
Kenya (2023),0.9798907147340516,0.9932046789055622,0.9609049836935792,0.9879273224340852,0.9955875763979244,0.9835469637999013,0.9938895144200628,0.981990347953913,0.9568454515826335,0.9805203838961828,0.9876593127523169,0.9649945256260168
Kosovo (2023),0.7972138576436018,0.8964826230799627,0.9578809078805202,0.9319534719005294,0.9965660068810369,0.9744733107482214,0.9915578334530656,0.9872955623351498,0.9691638038567494,0.9882526910883765,0.9986632625629465,0.9923011415693699
Kuwait (2023),0.9577665110755833,0.9627285903154043,0.9939006987745037,0.9888042476251547,0.988891832342034,0.0,0.0,0.0,0.0,0.0,0.0,0.969449904314387
Kyrgyzstan (2024),0.9535962845365695,0.9467173164957882,0.9865683425533301,0.9573560173376813,0.9346158810869862,0.997595363698653,0.9922865727173669,0.9962479048524516,0.959698747978036,0.9963326084357859,0.9264567249861235,0.9845698574004806
Lao (2023),0.9950238582498058,0.9943868885269909,0.9985964379336754,0.9965024734521821,0.0,0.0,0.0,0.9883407499892901,0.8981531994200057,0.8109588991266109,0.0,0.9974949213330746
Latvia (2024),0.9873611462442329,0.9737328328767028,0.9873976141096844,0.9976271049993469,0.9929392700852415,0.9956125406244917,0.9830290261441629,0.9916751342571222,0.9851755996460125,0.9903286827901912,0.9941292852716963,0.9923775072679416
Lebanon (2024),0.9750366785758651,0.9436502357153735,0.9904079427605398,0.9676164432601657,0.992954981819166,0.8408154351963595,0.9907641810286758,0.9184996765709356,0.9510768549459757,0.9773105116081915,0.9905325986901365,0.9895965668134301
Lesotho (2022),0.9773258660398152,0.9982943969153171,0.9821435304185026,0.9685155866105655,0.991210210247895,0.9526282304172902,0.9962246075170267,0.9322519476753504,0.9461103153929961,0.9968852297871715,0.9777028980247533,0.9797684812840788
Liberia (2023),0.9781406783993879,0.9924040704741891,0.9339531638420967,0.9679340732712567,0.991769016898583,0.9975485080750134,0.9934157650893584,0.9921336022563567,0.913662188321704,0.9853108850557909,0.965039782321337,0.9509862068878266
Libya (2024),0.9430189676472499,0.9022794754785437,0.969308458998989,0.9813193350033841,0.983463894578824,0.0,0.990667818115878,0.9685165953128019,0.0,0.9946445130954265,0.9743115267916334,0.9476836354318929
Lithuania (2024),0.9559549452118389,0.9901971566797366,0.975777905138661,0.9889374232898397,0.9965961281150129,0.9935402308019375,0.9965051365738108,0.9834797538452485,0.9945840829690367,0.9972355990245307,0.9738765711218729,0.9930765919824939
Luxembourg (2023),0.9558771370987756,0.9942629642108229,0.9875132897518453,0.9531620007151407,0.9965179567375302,0.9920168882827182,0.9827053328321297,0.9930773494056887,0.9920073449648495,0.9756867794574722,0.9946441622741309,0.9767311047403927
Macedonia (2023),0.9795267047748111,0.939427115364452,0.9893965234927506,0.9889313149465728,0.9903689518332263,0.974508593328389,0.9940867925472455,0.946389346733921,0.9611785034715612,0.978661625042001,0.9970497541090281,0.9922137345122588
Madagascar (2024),0.9979235878397928,0.9965637815956809,0.978949004781482,0.9930206545507279,0.9891433544280493,0.9957369181620961,0.9921446798005423,0.9689228371574937,0.9093173544244809,0.9811986062687081,0.9842116368939448,0.9949388351869691
Malawi (2023),0.9668895370984777,0.9947728090371009,0.9648961065207389,0.9818016262293828,0.9902746264257261,0.995824178722208,0.9911637444269821,0.962009879284786,0.8831372766697326,0.9746751015689306,0.9845072649157556,0.9921351434146608
Malaysia (2023),0.9762068088448027,0.9671891122881523,0.9978969783765114,0.9808069458569756,0.9803533469373917,0.9540398690583934,0.993589907343889,0.986675242666551,0.9447378111544796,0.9223774921611421,0.9923043339302728,0.9932449261952794
